Country,Article,Review,All,Ratio
Ireland,27,12,39,0.444444444
Qatar,24,10,34,0.416666667
New Zealand,30,12,42,0.4
United Arab Emirates,15,6,21,0.4
United States,2249,740,2989,0.329035127
Malaysia,41,12,53,0.292682927
Greece,168,44,212,0.261904762
South Africa,84,22,106,0.261904762
Netherlands,239,61,300,0.255230126
Romania,28,7,35,0.25
Brazil,243,59,302,0.242798354
Canada,324,78,402,0.240740741
United Kingdom,749,177,926,0.236315087
Colombia,9,2,11,0.222222222
Australia,296,65,361,0.219594595
Belgium,244,52,296,0.213114754
Poland,141,29,170,0.205673759
Portugal,93,19,112,0.204301075
Italy,947,191,1138,0.201689546
Switzerland,132,26,158,0.196969697
Denmark,157,29,186,0.184713376
Finland,101,17,118,0.168316832
Bangladesh,13,2,15,0.153846154
Norway,48,7,55,0.145833333
Sweden,139,19,158,0.136690647
Germany,769,100,869,0.130039012
Estonia,24,3,27,0.125
Indonesia,48,6,54,0.125
Mexico,84,10,94,0.119047619
Thailand,42,5,47,0.119047619
Pakistan,94,11,105,0.117021277
India,751,87,838,0.115845539
France,637,72,709,0.113029827
Iran,568,62,630,0.10915493
Saudi Arabia,132,14,146,0.106060606
Argentina,124,13,137,0.10483871
Jordan,41,4,45,0.097560976
Hungary,63,6,69,0.095238095
Lebanon,21,2,23,0.095238095
Undefined,298,27,325,0.090604027
Russian Federation,45,4,49,0.088888889
Peru,12,1,13,0.083333333
Austria,97,8,105,0.082474227
Chile,62,5,67,0.080645161
Spain,361,29,390,0.08033241
Japan,730,58,788,0.079452055
Kuwait,26,2,28,0.076923077
Egypt,334,25,359,0.074850299
China,1766,132,1898,0.074745187
Serbia,28,2,30,0.071428571
South Korea,168,12,180,0.071428571
Israel,360,23,383,0.063888889
Bulgaria,32,2,34,0.0625
Czech Republic,52,3,55,0.057692308
Turkey,490,28,518,0.057142857
Croatia,37,2,39,0.054054054
Nigeria,97,5,102,0.051546392
Singapore,58,2,60,0.034482759
Slovenia,46,1,47,0.02173913
Iraq,111,2,113,0.018018018
