Year,Article,Review,Ratio
2022,665,127,0.328882295
2021,694,155,0.343394359
2020,601,103,0.297524752
2019,549,92,0.27191679
2018,476,79,0.235877106
2017,396,65,0.196331185
2016,400,72,0.198412698
2015,460,66,0.228287841
2014,404,60,0.200595829
2013,389,90,0.193243915
2012,420,103,0.208747515
2011,375,70,0.186474391
2010,292,81,0.145273632
2009,325,67,0.161772026
2008,326,71,0.162350598
2007,298,78,0.148480319
2006,296,87,0.147557328
2005,296,83,0.147630923
2004,306,61,0.152694611
2003,271,69,0.135297054
2002,321,28,0.16033966
2001,283,26,0.141429285
2000,264,44,0.132
1999,240,22,0.12006003
1998,257,19,0.128628629
1997,236,21,0.118177266
1996,193,15,0.096693387
1995,208,12,0.104260652
1994,192,17,0.096288867
1993,169,12,0.084796789
1992,163,13,0.081827309
1991,129,6,0.064791562
1990,132,3,0.066331658
1989,124,5,0.062342886
1988,131,1,0.065895372
1987,132,5,0.066431807
1986,139,3,0.06998993
1985,164,8,0.082619647
1984,115,7,0.05796371
1983,116,2,0.058497226
1982,123,3,0.062058527
1981,116,4,0.058556285
1980,116,2,0.058585859
1979,122,1,0.061647297
1978,118,1,0.059656218
1977,82,3,0.041476985
1976,73,2,0.03694332
1975,64,1,0.032405063
1974,58,3,0.029381966
1973,39,0,0.019766853
1972,11,0,0.005578093
1971,5,0,0.002536783
1970,10,0,0.005076142
